"","carto_id","h2o_indoorallsources_KGAL","energy_star_score","property_gfa_self_reported_SF","property_id","department","property_name","ghg_emissions_indirect_MTCO2e","ghg_emissions_direct_MTCO2e","total_ghg_emissions_intensity_KGCO2eSF","total_ghg_emissions_MTCO2e","h2o_allsources_KGAL","weather_norm_source_eui_KBTUSF","weather_norm_site_eui_KBTUSF","source_eui_KBTUSF","site_eui_KBTUSF","total_site_energy_KBTU","log_total_site_energy_KBTU"
"131",135,0,0,10325,3935392,"Libraries:","Libraries: 51/004 Vernon Library",48.1,1.4,4.8,49.5,206.6,167.6,55.1,171.4,56.3,581297.5,13.27301795
"132",136,0,0,11850,3935393,"Libraries:","Libraries: 51/020 Cahuenga Library #20",50.3,0.1,4.6,50.4,428.6,163.7,52.2,166.7,53.2,630420,13.35414154
"133",137,0,0,10847,3935394,"Libraries:","Libraries: 51/007 Junipero Serra Library",50.3,2.2,4.8,52.5,1270.7,173,58.4,171.8,57.3,621533.1,13.33994445
"134",138,0,0,11062,3935395,"Libraries:","Libraries: 51/049 Memorial Library",49,1.6,4.8,50.6,96,163.9,54.9,170.7,56.3,622790.6,13.34196563
"135",139,0,0,13703,3935396,"Libraries:","Libraries: 51/040 Venice-Abbot Kinney Library",42,2.6,4.4,44.6,473.8,141.7,48.3,154.3,52.3,716666.9,13.48236644
"136",140,0,0,21376,3935397,"Libraries:","Libraries: 51/037 North Hollywood Library",62.1,0,5.1,62.1,0,185.8,59.2,183.8,58.5,1250496,14.03905083
"137",141,0,0,12500,3935398,"Libraries:","Libraries: 51/ 032 Eagle Rock Library",44,1.8,3.7,45.8,296.3,130.9,44,133.2,44.3,553750,13.2244686
"138",142,0,0,10500,3935399,"Libraries:","Libraries: 51/021 El Sereno Library",42.8,5.7,4.6,48.5,130.4,155.1,57.6,158.3,57.2,600600,13.30568443
"139",143,0,0,7050,3935400,"Libraries:","Libraries: 51/012 John C Fremont Library",33.9,1.1,5,35,361.9,171.4,57,177.2,58.4,411720,12.92809879
"140",144,0,0,14000,3935401,"Libraries:","Libraries: 51/005 Arroyo Seco Library",63.9,2.7,6.5,66.6,127.4,226.9,76.2,231.8,77.1,1079400,13.89191589
"141",145,0,0,14500,3935403,"Libraries:","Libraries: 51/063 China Town Library",91.9,5.7,6.7,97.6,388.9,230.5,79.7,237.1,80.4,1165800,13.9689181
"142",146,0,0,10500,3935404,"Libraries:","Libraries: 51/055 Playa Vista Library",39.6,2.2,4,41.9,397.4,130.1,44.1,140.8,47.5,498750,13.11986025
"143",147,0,0,38949,3935405,"Libraries:","Libraries: 51/003 Pio Pico Koreatown Library",166.4,9.2,8.8,175.5,267.1,0,0,310.1,104.5,4070170.5,15.21919545
"144",148,0,0,14050,3935406,"Libraries:","Libraries: 51/013 Westchester Loyola Library",47.7,2,7.4,49.8,120.6,244.1,81.5,264.4,88,1236400,14.02771449
"145",149,0,0,12500,3935407,"Libraries:","Libraries: 51/031 Will and Arial Durant Library",69.1,1,5.6,70.1,380.2,194.3,62.9,201.8,65.2,815000,13.61094339
"146",150,0,0,10500,3935408,"Libraries:","Libraries: 51/035 Sunland-Tujunga Library",38,4.4,4.3,42.4,86.6,145,54.1,147,52.4,550200,13.21803713
"147",151,0,0,5064,3935409,"Libraries:","Libraries: 51/019 R.L Stevenson Library",16.7,0.2,3.3,16.9,140.3,0,0,120,38.8,196483.2,12.18833221
