"","reported","property_type","gross_area_SF","year_built","h2o_intensity_GALSF","zip","property_uses","site_eui_KBTUSF","energy_star_score","ghg_emissions_MTCO2e","ghg_intens_KGCO2SF","total_site_energy_KBTU","log_total_site_energy_KBTU","electricity_percentage","gas_percentage"
"1385","Yes","Multifamily Housing",24555,1920,30.9,"02135","Multifamily Housing",91.7,33,1920,5.2,2251983,14.6273217193678,12.6,87.4
"1386","Yes","Multifamily Housing",27200,1920,49.6,"02135","Multifamily Housing",109.5,66,1920,8.2,2977157.8,14.9064796449754,9.7,NA
"1387","Voluntary","Multifamily Housing",29280,1920,3729,"02135","Multifamily Housing",40.9,100,1920,2.5,1196864.6,13.9952158620184,22.4,77.6
"1390","Yes","Other - Lodging/Residential",32222,1999,54.2,"02135","Other - Lodging/Residential",36.4,NA,1999,2,1173655,13.9756333690618,6.1,93.9
"1391","Yes","Multifamily Housing",32955,1970,11.9,"02135","Multifamily Housing",2.8,100,1970,0.2,92284.4,11.4326303921219,100,NA
"1392","Yes","Multifamily Housing",32568,1920,49,"02135","Multifamily Housing",77.8,88,1920,4.5,2534974.3,14.745694056889,13.5,86.5
"1393","Yes","Multifamily Housing",27000,1920,59.2,"02135","Multifamily Housing",93.2,78,1920,5.3,2515126.8,14.7378337777401,12.8,87.2
"1394","Yes","Multifamily Housing",39921,1920,40,"02135","Multifamily Housing",274.1,1,1920,21.6,10942077.4,16.208126227242,80,20
"1395","Yes","Multifamily Housing",40000,1910,5.6,"02135","Multifamily Housing",125,NA,1910,7.1,5001889.1,15.4253262190424,11.1,88.9
"1396","Yes","Multifamily Housing",19016,1982,53,"02135","Multifamily Housing, Parking",122.8,75,1982,8.1,2334929.6,14.6634922987377,12.5,45.9
"1397","Yes","Multifamily Housing",44954,1920,63.7,"02135","Multifamily Housing, Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",55.1,NA,1920,3.3,2477086.9,14.7225937906175,23.5,76.5
"1400","Yes","Multifamily Housing",141204,1937,31,"02135","Multifamily Housing",91.2,51,1937,5.2,12879405.2,16.3711400974499,11.2,88.8
"1401","Municipal ","K-12 School",31570,1924,38.9,"02135","K-12 School",49,99,1924,2.8,1545353.8,14.250763438862,13.6,86.4
"1402","Municipal ","Senior Care Community",13100,2000,34.3,"02135","Other",66.8,NA,2000,4.1,874450,13.6813503962773,27.5,72.5
"1403","Yes","Office",218104,1999,3.7,"02135","Office",78.1,NA,1999,6.6,17038049.8,16.6509596244589,96.8,3.2
"1404","Municipal ","K-12 School",113199,1895,14.3,"02135","K-12 School",58.1,90,1895,3.4,6579760.5,15.6995089044628,17.4,82.6
"1405","Yes","Other - Education",144000,1911,22.7,"02135","Other - Education",28,NA,1911,2,4029728.2,15.2092094874797,56.9,43.1
"1406","Yes","Residence Hall/Dormitory",286498,2008,14.4,"02135","Residence Hall/Dormitory",24,98,2008,1.7,6866862.1,15.7422178058517,49.1,50.9
"1407","Yes","Multifamily Housing",27080,1920,45.3,"02135","Multifamily Housing",106.6,33,1920,6,2887744.3,14.8759862362939,10.4,89.6
"1408","Municipal ","Office",1800,2000,17.2,"02135","Office",7.9,NA,2000,0.7,14262.9,9.56541703935112,100,NA
"1409","Voluntary","Office",68729,2007,0,"02135","Office",47.8,94,2007,3.4,3286410.1,15.0053063719833,55.1,44.9
"1410","Yes","Self-Storage Facility",38000,1930,68.5,"02135","Self-Storage Facility",1.5,NA,1930,0.1,55107.2,10.9170356581106,100,NA
"1411","Municipal ","K-12 School",216213,1930,25.1,"02135","K-12 School",37.8,96,1930,2.4,8166054.5,15.9154964248536,29.3,70.7
"1412","Yes","Multifamily Housing",187656,1978,50.8,"02135","Multifamily Housing",75.6,54,1978,4.7,14178855.3,16.4672623494345,29.6,70.4
"1413","Yes","Multifamily Housing",140889,1971,36.3,"02135","Multifamily Housing",84.5,88,1971,4.9,11902688.3,16.2922748401315,16.5,83.5
"1414","Yes","Multifamily Housing",201670,1995,36.6,"02135","Multifamily Housing",67.7,85,1995,4.1,13645839.7,16.4289452492564,22.6,77.4
"1415","Yes","Multifamily Housing",93772,2003,39.4,"02135","Multifamily Housing",47.4,85,2003,3.3,4441080.3,15.3064082156239,48.3,51.7
"1416","Yes","Multifamily Housing",41326,1981,1391.3,"02135","Multifamily Housing",87.7,93,1981,4.7,3624736.5,15.1032921539737,3,97
"1417","Yes","Multifamily Housing",154240,1985,37.2,"02135","Multifamily Housing",15.1,100,1985,1.1,2322263.1,14.6580527423147,66,34
"1418","Municipal ","Library",8072,2000,16.7,"02135","Library",21.8,NA,2000,1.9,175672.8,12.0763784528569,100,NA
"1419","Yes","Multifamily Housing",36195,1899,36.1,"02135","Multifamily Housing, Retail Store",91.6,NA,1899,5.3,3314154.2,15.0137130057594,15.7,84.3
"1420","Yes","Multifamily Housing",48000,1913,26.1,"02135","Multifamily Housing",10.5,100,1913,0.6,504358.7,13.1310430002599,10.7,89.3
"1421","Yes","Office",42911,1111,2.3,"02135","Office",36.6,90,1111,3.1,1571281,14.2674017682067,100,NA
"1422","Yes","Other - Lodging/Residential",43000,1929,42.5,"02135","Other - Lodging/Residential, Parking",105.7,NA,1929,5.9,4543990.2,15.3293160826907,10.9,89.1
"1423","Municipal ","Library",17208,2000,17,"02135","Library",105.4,NA,2000,6.6,1813554.8,14.4107994550594,29.4,70.6
"1424","Yes","Multifamily Housing",158387,2007,58,"02135","Multifamily Housing",100.6,24,2007,6.2,15934183.7,16.5839772776623,26.6,73.4
"1425","Yes","Multifamily Housing",211834,2013,58,"02135","Multifamily Housing",71.5,56,2013,5,15150337.4,16.5335333602987,50.3,49.7
"1426","Yes","Multifamily Housing",84410,1965,48,"02135","Multifamily Housing",86.8,49,1965,6.4,7327647.9,15.8071651356009,17.5,12.6
"1427","Municipal ","Fire Station",8550,2000,9.2,"02135","Fire Station",113.7,NA,2000,6.8,972067.8,13.7871808340964,21.7,78.3
"1428","Yes","Multifamily Housing",62433,1997,29.7,"02135","Multifamily Housing",48,NA,1997,2.8,2998242.2,14.913536741573,18.7,81.3
"1429","Yes","Multifamily Housing",51700,1980,3195.6,"02135","Multifamily Housing",62.1,86,1980,3.6,3211516.8,14.9822539068667,16.1,83.9
"1430","Yes","Multifamily Housing",39006,1920,49.3,"02135","Multifamily Housing",79.2,73,1920,4.5,3087786.3,14.9429649843643,13.4,86.6
"1431","Yes","Multifamily Housing",97640,1915,44.4,"02135","Multifamily Housing",45.3,97,1915,3.4,4424526.1,15.3026737346438,26.6,8
"1432","Municipal ","K-12 School",13336,1926,18.8,"02135","K-12 School",70.7,77,1926,4.6,942225.2,13.7559995908042,38.7,61.3
"1433","Municipal ","K-12 School",41016,1901,75.3,"02135","K-12 School",52.2,95,1901,3.2,2141939.4,14.5772222382731,23.5,76.5
"1434","Municipal ","K-12 School",100500,1932,7.7,"02135","K-12 School",66,87,1932,3.8,6629580,15.7070520117392,14.1,85.9
"1436","Yes","Multifamily Housing",36800,1920,44.2,"02135","Multifamily Housing",117.8,30,1920,6.7,4334063.6,15.2820161356362,11,89
"1437","Yes","Hospital (General Medical & Surgical)",660000,1960,46.4,"02135","Hospital (General Medical & Surgical)",220.3,91,1960,13.5,143417393.4,18.7812697716614,25,75
"1438","Yes","Medical Office",204504,1938,14.2,"02135","Medical Office",93.3,NA,1938,6,19081218,16.7642150584249,34.1,64.3
"1441","Yes","Multifamily Housing",30348,1920,33.9,"02135","Multifamily Housing",85.7,79,1920,5.2,2601430.3,14.7715719671183,23.6,76.4
"1442","Yes","Multifamily Housing",96236,1970,54.3,"02135","Multifamily Housing",106.8,11,1970,6.4,10279861.7,16.1456973645934,22.1,77.9
"1443","Yes","Multifamily Housing",82350,1981,49.2,"02135","Multifamily Housing",70.1,86,1981,5.4,5775534.9,15.5691414334595,23.5,NA
"1444","Municipal ","K-12 School",47314,1925,35.3,"02135","K-12 School",62.2,94,1925,3.6,2944744.2,14.8955325122122,13,87
"1445","Yes","Multifamily Housing",30348,1910,30.2,"02135","Multifamily Housing",81.8,79,1910,4.8,2483907.4,14.7253434427577,17.7,82.3
"1446","Yes","Multifamily Housing",57949,2005,39.1,"02135","Multifamily Housing",24.5,100,2005,1.3,1421695.6,14.1673608017326,0.1,99.9
"1447","Yes","Multifamily Housing",225370,1978,46.7,"02135","Multifamily Housing",62.6,96,1978,3.6,14116232.7,16.4628359484813,14.2,85.8
"1449","Yes","Non-Refrigerated Warehouse",76000,1915,1319.2,"02136","Non-Refrigerated Warehouse",12.7,85,1915,1.1,968352,13.7833509365227,100,NA
"1450","Yes","Supermarket/Grocery Store",38890,2001,120.6,"02136","Supermarket/Grocery Store",225.2,68,2001,16.1,8759621.4,15.9856632428005,57.4,42.6
"1451","Municipal ","Social/Meeting Hall",40000,2000,1.7,"02136","Other - Recreation",20.4,NA,2000,1.7,815493.6,13.6115488530664,100,NA
"1452","Municipal ","Police Station",23400,2000,15.7,"02136","Police Station",44.7,NA,2000,2.6,1047031.3,13.8614693843437,68.8,NA
"1453","Yes","K-12 School",39000,1960,13,"02136","K-12 School",55.1,90,1960,3.4,2147309.4,14.5797261745361,24,76
"1455","Yes","Multifamily Housing",34222,1920,10.9,"02136","Multifamily Housing",85.8,52,1920,5.4,2934590.9,14.892078614817,29.2,70.8
"1456","Yes","Multifamily Housing",132000,1980,26.1,"02136","Multifamily Housing",79.7,42,1980,4.9,10519015.1,16.1686951392181,26.8,73.2
"1457","Yes","Supermarket/Grocery Store",53642,1999,8.2,"02136","Supermarket/Grocery Store",295.7,42,1999,21,15863676.4,16.5795425505874,55.7,44.3
"1458","Yes","K-12 School",108000,2010,12.2,"02136","K-12 School, Parking",71.9,44,2010,4.9,7765647.4,15.8652203852041,45.7,54.3
"1459","Municipal ","K-12 School",108832,1902,1.5,"02136","K-12 School",44,100,1902,2.4,4785810.4,15.3811659311204,4.2,95.8
"1460","Yes","Multifamily Housing",77407,1964,7417.6,"02136","Multifamily Housing",98.5,44,1964,5.8,7622325.4,15.8465920517114,16.4,83.6
"1463","Yes","Self-Storage Facility",40188,1997,0.2,"02136","Self-Storage Facility",21.4,NA,1997,1,860224,13.6649480994308,NA,90.8
"1464","Yes","K-12 School",53000,1956,10.7,"02136","K-12 School",51.6,98,1956,2.7,2735336.6,14.8217650575636,0.3,99.7
"1465","Yes","Multifamily Housing",36794,2004,33.5,"02136","Multifamily Housing",35.9,87,2004,2.8,1320487.3,14.093511393104,77.7,22.3
"1468","Municipal ","K-12 School",32582,1926,8.8,"02136","K-12 School",59.2,95,1926,3.4,1930234.2,14.4731519006694,15.8,84.2
"1469","Municipal ","K-12 School",15077,1947,7.6,"02136","K-12 School",70.9,83,1947,4.4,1068479.7,13.8817473549647,29.6,70.4
"1470","Yes","Multifamily Housing",46834,2000,26.2,"02136","Multifamily Housing",66.7,30,2000,4.2,3125433.6,14.9550835835275,30.7,69.3
"1471","Municipal ","K-12 School",32216,1956,10.5,"02136","K-12 School",53.1,96,1956,3.2,1710394.6,14.3522346620917,20.5,79.5
"1472","Yes","Multifamily Housing",1540954,1900,32.5,"02136","Multifamily Housing",29.4,100,1900,1.6,45368276.3,17.6303236588532,6.3,93.7
"1473","Municipal ","Office",2400,2000,32.1,"02136","Office",20.3,NA,2000,1.7,48619.8,10.7917861343281,100,NA
"1474","Yes","K-12 School",72000,2015,4.8,"02136","K-12 School, Parking",46.1,75,2015,3.9,3317806.1,15.0148143092063,100,NA
"1475","Municipal ","Repair Services (Vehicle, Shoe, Locksmith, etc.)",7966,2000,7.2,"02136","Repair Services (Vehicle, Shoe, Locksmith, etc.)",138,NA,2000,9.3,413972,12.93355361767,44.1,55.9
"1478","Municipal ","K-12 School",51128,1957,2.3,"02136","K-12 School",39,100,1957,2.2,1995515.6,14.5064130210299,12.7,87.3
"1479","Yes","Non-Refrigerated Warehouse",256346,1940,9.7,"02136","Other",83.5,NA,1940,5.3,21403591.2,16.8790692789972,30.4,NA
"1480","Municipal ","K-12 School",186589,1929,4.3,"02136","K-12 School",67.4,66,1929,4.2,12583433.7,16.3478917211183,26.8,73.2
"1481","Yes","Mixed Use Property",35000,1985,76.9,"02136","Other",3.4,NA,1985,0.3,119426.8,11.6904589103656,100,NA
"1482","Municipal ","Police Station",59500,2000,32.3,"02136","Police Station",9.4,NA,2000,0.8,557138.4,13.2305689620126,100,NA
"1484","Yes","Mixed Use Property",51428,1920,251.6,"02136","Other",12.7,NA,1920,0.7,655098.7,13.3925411902881,4.9,95.1
"1485","Municipal ","K-12 School",40268,1967,3.5,"02136","K-12 School",74.8,85,1967,4.4,3012827.9,14.9183896973307,16,84
"1486","Yes","Adult Education",40425,1904,26.5,"02136","Adult Education",77,NA,1904,4.6,3110852.1,14.9504072337661,18.9,81.1
"1487","Yes","Distribution Center",41250,1950,16,"02136","Distribution Center",6.4,99,1950,0.4,264067.5,12.4839600312656,31,69
"1488","Yes","Office",70849,1925,16.2,"02138","Office, Other, Urgent Care/Clinic/Other Outpatient",62.4,70,1925,5.2,4422700.3,15.3022609951154,92.9,7.1
"1489","Yes","College/University",180000,1920,4.9,"02139","College/University",7.3,NA,1920,0.6,1314370.6,14.0888684778348,100,NA
"1490","Yes","Office",236688,2015,10.6,"02144","Office, Retail Store",67.3,81,2015,5.1,15926206.4,16.5834765116553,72.3,27.7
"1491","Yes","Office",6067,1940,18.6,"02163","Office",40,95,1940,2.9,242442.7,12.3985206727793,28.2,NA
"1492","Yes","Other - Entertainment/Public Assembly",139437,2000,18.5,"02163","Other - Entertainment/Public Assembly",109.4,NA,2000,7.6,15257933.4,16.5406101486995,30.5,17.4
"1493","Yes","College/University",77029,1963,13,"02163","College/University",68.6,NA,1963,5,5283500.9,15.4800994852048,53.1,38.7
"1494","Yes","Residence Hall/Dormitory",50786,1926,18.5,"02163","Residence Hall/Dormitory",40.5,95,1926,3,2057372.2,14.5369400953879,38.3,NA
"1495","Yes","Office",117707,1927,20.1,"02163","Office",42.1,96,1927,3.3,4952763.1,15.4154561808283,57.2,NA
"1496","Yes","Office",6067,1940,18.6,"02163","Office",33.3,99,1940,2.4,201891.6,12.2154861986806,34.5,NA
"1497","Yes","Residence Hall/Dormitory",50956,1926,18.5,"02163","Residence Hall/Dormitory",49.9,85,1926,3.8,2540228.6,14.747764634945,50,NA
"1498","Yes","Library",157820,1927,21.6,"02163","Library",76,NA,1927,5.5,11998036.7,16.3002535860336,33.2,NA
"1499","Yes","Office",5674,1965,13.4,"02163","Office",102.7,58,1965,7,582477.3,13.2750454937056,11.7,NA
"1500","Yes","Office",26137,1974,18.5,"02163","Office",64.7,85,1974,4.8,1690172.2,14.3403409751996,37.9,NA
"1501","Yes","Residence Hall/Dormitory",50796,1926,18.5,"02163","Office, Residence Hall/Dormitory",102.4,66,1926,7.2,5201773,15.4645100869759,19.9,NA
"1502","Yes","College/University",105818,1953,18.5,"02163","College/University",59.9,NA,1953,4.5,6333400.2,15.6613478063016,47.4,NA
"1503","Yes","College/University",61104,2002,18.5,"02163","College/University",95.5,NA,2002,7.8,5836842.3,15.5797005065175,77.9,NA
"1504","Yes","Performing Arts",28969,1969,20.2,"02163","Performing Arts",48.2,NA,1969,3.5,1397507.8,14.1502010653912,29.6,NA
"1505","Yes","Office",5940,1965,18.6,"02163","Office",90.1,72,1965,6.2,535484.4,13.1909270367929,13.5,NA
"1506","Yes","Single Family Home",10978,1929,18.6,"02163","Single Family Home",50.2,NA,1929,3.1,550586.7,13.2187397159321,25.7,74.3
"1507","Yes","Residence Hall/Dormitory",51821,1926,19,"02163","Residence Hall/Dormitory",65.1,75,1926,4.9,3375338.1,15.0320060550491,43.8,NA
"1508","Yes","Residence Hall/Dormitory",78375,1969,18.5,"02163","Residence Hall/Dormitory",72.1,74,1969,5.3,5651978,15.5475161303515,37.1,NA
"1509","Yes","Social/Meeting Hall",18925,1969,19.7,"02163","Social/Meeting Hall",77,NA,1969,5.6,1456808.6,14.1917587107279,35.2,NA
"1510","Yes","Residence Hall/Dormitory",107673,1999,19.3,"02163","Residence Hall/Dormitory",64.7,81,1999,4.7,6966567.4,15.7566331793616,31.4,NA
"1511","Yes","Office",16747,1968,18.5,"02163","Office",38.5,98,1968,2.8,644019.6,13.375484439406,37.3,NA
"1512","Yes","Residence Hall/Dormitory",157587,2012,19.4,"02163","Residence Hall/Dormitory",41.5,88,2012,3,6544510,15.6941370882134,52.4,43
"1513","Yes","Office",27782,1969,18.5,"02163","Office",84.3,63,1969,6.2,2341440.2,14.6662767680953,38.5,NA
"1514","Yes","Worship Facility",6932,1992,18.5,"02163","Worship Facility",96.3,1,1992,7,667807.2,13.4117547881047,32.6,NA
"1515","Yes","Office",7563,1926,18.6,"02163","Office",66.7,82,1926,4.8,504815.8,13.1319488892439,25.2,NA
"1516","Yes","Residence Hall/Dormitory",47698,1926,19,"02163","Residence Hall/Dormitory",63.6,84,1926,4.6,3035177,14.9257803003798,27.5,NA
"1517","Yes","Office",6377,1926,18.5,"02163","Office",59.8,95,1926,4.2,381327.2,12.8514130782083,21.6,NA
"1518","Yes","Office",9611,1926,18.6,"02163","Office",30.5,96,1926,2.3,293385,12.5892410186397,40.7,NA
"1519","Yes","Mixed Use Property",132424,1990,12.2,"02163","Data Center, Office, Other - Recreation",114.1,NA,1990,8.2,15107105.4,16.5306757473997,50.2,31.4
"1520","Yes","Residence Hall/Dormitory",49297,1926,18.5,"02163","Residence Hall/Dormitory",44.1,90,1926,3.3,2173140,14.5916836842226,45.6,NA
"1521","Yes","Office",6290,1926,19.6,"02163","Office",63.1,83,1926,4.9,397096.2,12.8919338476956,56.2,NA
"1523","Municipal ","Fire Station",30000,2000,10.4,"02169","Fire Station",10.6,NA,2000,0.9,319276,12.6738112114557,100,NA
"1524","Municipal ","Police Station",1000,2000,23308,"02169","Police Station",15.2,NA,2000,1.3,15163.2,9.62662671871593,100,NA
"1528","Municipal ","Police Station",2000,2000,43740,"02171","Police Station",214.6,NA,2000,18.3,214571.3,12.2763973630497,100,NA
"1529","Municipal ","Fire Station",1500,2000,882924330,"02171","Fire Station",26.5,NA,2000,2.3,39683.2,10.5886832033085,100,NA
"1530","Yes","Multifamily Housing",165000,1900,0.1,"02199","Multifamily Housing",34.6,70,1900,2.9,5716413.4,15.5588521387197,95.3,4.7
"1531","Yes","Office",585345,1972,11.8,"02199","Office, Parking",67.3,92,1972,5.1,39383067.4,17.4888465204729,51.4,0.6
"1532","Yes","Office",1034179,2001,13,"02199","Office",73.8,78,2001,5.9,76350903,18.150850416671,70.8,0.3
"1533","Yes","Hotel",1040000,1990,41.3,"02199","Hotel",96.4,59,1990,6.3,100266408.9,18.4233412905574,37.5,62
"1534","Yes","Supermarket/Grocery Store",42918,2003,0,"02199","Supermarket/Grocery Store",286.7,36,2003,21.5,17067833.8,16.6527061857221,67.2,32.8
"1535","Yes","Retail Store",124779,2000,2.7,"02199","Retail Store",60.3,82,2000,4.4,7523212.4,15.8335037855613,63.8,36.2
"1536","Yes","Multifamily Housing",286043,1968,39,"02199","Multifamily Housing",91.3,13,1968,6.5,26122758.5,17.0783174655252,26.3,NA
"1537","Yes","Multifamily Housing",452336,2006,34.4,"02199","Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",138.2,1,2006,10.5,62525842,17.9510905012506,56.1,8.8
"1538","Yes","Multifamily Housing",287111,1968,32.3,"02199","Multifamily Housing",88.2,15,1968,6.3,25318946.8,17.0470635587985,28.2,NA
"1539","Yes","Retail Store",110000,2000,15.6,"02199","Retail Store",120.2,49,2000,9.8,13220362.6,16.3972688201509,78.4,0
"1540","Yes","Multifamily Housing",291222,1968,27.6,"02199","Multifamily Housing",89.3,41,1968,6.1,26020623.6,17.0743999969413,11.4,3.4
"1541","Yes","Office",1518646,1965,12.2,"02199","Office, Parking",102.2,66,1965,7.9,155153650.1,18.8599264748468,58.8,3.2
"1542","Municipal ","Police Station",13858,2000,0.2,"02201","Police Station",151.6,NA,2000,9.7,2101502,14.558162885128,33.2,66.8
"1543","Municipal ","Office",513000,1968,16.2,"02201","Office",110.7,32,1968,9,56548593.9,17.8506108954958,77.5,NA
"1544","Voluntary","Office",971779,1966,11.8,"02203","Data Center, Office, Parking",74.7,NA,1966,5.7,72614896.2,18.1006806405663,53.9,NA
"1545","Yes","Other",710000,1958,18.5,"02205","Other, Parking",86.7,NA,1958,7.3,61567826.4,17.935649993357,97.4,2.6
"1546","Yes","Office",556340,1985,8.5,"02210","Office, Restaurant",61.5,87,1985,4.4,34196117.9,17.347622683894,54.6,45.4
"1547","Yes","Financial Office",501650,2014,13,"02210","Data Center, Financial Office",59.1,96,2014,4.8,29641855,17.2046979407793,86.2,13.1
"1548","Yes","Office",248760,1920,20.6,"02210","Office",10.5,100,1920,0.9,2623290.9,14.7799401562452,100,NA
"1549","Yes","Office",225294,1903,11.1,"02210","Fast Food Restaurant, Office",63.6,87,1903,5,14324980.2,16.4775154383652,69.1,3.4
"1550","Yes","Office",620642,2015,10.8,"02210","Office, Parking",56.4,96,2015,4.2,35034498.8,17.3718438139901,66,34
"1551","Yes","Laboratory",516693,2013,19.6,"02210","Laboratory",151.2,NA,2013,11.1,78107108.9,18.1735916337149,62,38
"1552","Yes","Financial Office",45280,1900,7.5,"02210","Financial Office",81.1,73,1900,6.7,3672156.9,15.1162897585678,72.5,NA
"1553","Yes","Office",57098,1918,37.9,"02210","Office, Retail Store",224.8,15,1918,17.6,12835623,16.3677349102602,77.4,22.6
"1554","Yes","Financial Office",184479,1900,1.5,"02210","Financial Office, Office",84.4,63,1900,6.9,15569202.5,16.5608053222029,87.3,12.7
"1555","Yes","Multifamily Housing",419826,2013,32.9,"02210","Multifamily Housing, Swimming Pool",35.3,97,2013,2.5,14814466.7,16.5111147410419,58.2,41.8
"1556","Yes","Multifamily Housing",203500,2005,16,"02210","Multifamily Housing",36.5,62,2005,2.7,7424131.8,15.8202463065233,64.8,35.2
"1558","Yes","Parking",127652,1999,0.1,"02210","Parking",5.2,NA,1999,0.4,662320.4,13.4035047057502,100,NA
"1561","Yes","Office",105197,1984,11.4,"02210","Office, Parking",70.7,75,1984,6,7437440.6,15.8220373422495,100,NA
"1562","Yes","Multifamily Housing",1e+05,2000,27.5,"02210","Multifamily Housing",59.4,33,2000,4.5,5941252.9,15.597430595023,69,31
"1563","Yes","Office",746766,1985,8,"02210","Non-Refrigerated Warehouse, Office",76.9,86,1985,5.2,57444333,17.8663269150959,40.1,55.7
"1564","Yes","Mixed Use Property",57532,2000,0.4,"02210","Office, Parking",140.3,NA,2000,10.7,8069680.2,15.9036244112081,72.5,27.5
"1565","Yes","Multifamily Housing",222191,2015,19.6,"02210","Multifamily Housing",56.7,77,2015,3.5,12604740.1,16.3495834995895,25.7,74.3
"1566","Yes","Multifamily Housing",76038,2006,28.6,"02210","Multifamily Housing",51.1,31,2006,3.5,3884630.9,15.1725385308355,46.4,53.6
"1567","Yes","Office",74500,1920,1.7,"02210","Office",86.2,60,1920,6.1,6419321.9,15.6748230470347,54.7,45.3
"1568","Yes","Office",905414,1975,16.2,"02210","Data Center, Financial Office, Office, Restaurant",114.5,99,1975,9.3,103698762.4,18.4570007387023,87.2,11.6
"1569","Yes","Multifamily Housing",72000,1983,13.5,"02210","Multifamily Housing",40.9,91,1983,3.2,2941868.6,14.8945555156519,26.6,NA
"1570","Yes","Multifamily Housing",60000,2004,45.9,"02210","Multifamily Housing",107.7,1,2004,7.9,6464785.8,15.6818804373886,62.6,37.4
"1571","Yes","Museum",65000,2006,11.9,"02210","Museum",232.5,NA,2006,15.5,15115593.5,16.531237451055,42.2,57.8
"1572","Yes","Office",104728,1903,13.9,"02210","Office",56.4,82,1903,4.6,5907946,15.5918087824427,88.6,11.4
"1573","Yes","Office",216012,1902,11.3,"02210","Office",64.9,87,1902,4.8,14025538,16.4563903687086,66.4,33.6
"1574","Yes","Office",117469,1900,0.7,"02210","Office",48.8,NA,1900,3.5,5735217.9,15.5621363025928,54.6,45.4
"1575","Yes","Office",33942,1900,7,"02210","Office",74.1,68,1900,6,2516397.8,14.7383389924128,60.3,NA
"1576","Yes","Office",64564,1980,11.9,"02210","Office",116.2,43,1980,9,7500830,15.8305242390501,74.3,25.7
"1577","Yes","Office",55906,1899,12.6,"02210","Office, Other",30.9,97,1899,2.4,1727053.9,14.3619275668329,78.1,21.9
"1578","Yes","Office",69916,1898,11.7,"02210","Office",56.6,69,1898,4.8,3959153.8,15.1915408735277,100,NA
"1579","Yes","Office",281600,2002,17.5,"02210","Office",138.2,55,2002,8.9,38907933.8,17.4767087415204,35.2,64.8
"1580","Yes","Office",168408,1904,1.8,"02210","Office",56,81,1904,4.8,9438855.2,16.0603452595813,95.6,NA
"1581","Yes","Office",74046,1899,11.4,"02210","Office, Restaurant",62.9,73,1899,5.3,4660289.2,15.354588064262,96.6,3.4
"1582","Yes","Office",155165,1990,15.4,"02210","Office",114.3,23,1990,9.8,17732543.1,16.6909121026208,100,NA
"1583","Yes","Office",138350,1900,5.9,"02210","Office",63.7,NA,1900,5.2,8810909,15.9915011707964,61.9,NA
"1584","Yes","Office",840913,2010,12.8,"02210","Data Center, Office, Parking, Restaurant",77.3,91,2010,6.1,64987633.6,17.989707557452,79.1,20.9
"1585","Yes","Office",49294,1903,17.2,"02210","Office, Parking",119.6,37,1903,8.2,5896067.8,15.5897962121068,46.7,53.4
"1586","Yes","Office",73363,1900,3.8,"02210","Office",70.6,76,1900,5,5180528.3,15.4604175974522,74.5,25.5
"1587","Yes","Office",125688,1904,2.7,"02210","Office",66.4,89,1904,4.4,8351479.5,15.9379492667603,42.7,57.3
"1588","Yes","Multifamily Housing",85000,1950,16.5,"02210","Multifamily Housing",48.7,55,1950,3.3,4139038.7,15.2359741207717,43.4,56.6
"1589","Yes","Fire Station",5000,2000,82.5,"02210","Fire Station",11.8,NA,2000,1,59034.2,10.9858722159663,100,NA
"1590","Yes","Office",69553,2004,13.6,"02210","Office",28.5,100,2004,2,1983624.3,14.5004361839758,57.3,42.7
"1591","Yes","Office",57225,1904,12,"02210","Office",55.8,84,1904,4.1,3192735.5,14.9763886308088,85.4,NA
"1592","Yes","Office",72912,1890,11.5,"02210","Office",51.6,82,1890,4.4,3764766.9,15.1411965049489,100,NA
"1594","Yes","Office",122500,2013,964.2,"02210","Office",72.8,85,2013,5.4,8912333.1,16.0029466170216,67,33
"1595","Yes","Office",91482,1911,5.3,"02210","Office, Parking",44,89,1911,3.8,4026078.1,15.2083032839008,100,NA
"1596","Yes","Office",94381,1980,6.2,"02210","Office",98.4,53,1980,7.3,9285259.4,16.0439386899124,64.9,35.1
"1597","Yes","Office",36394,1895,19.2,"02210","Convenience Store without Gas Station, Office",62.9,76,1895,5.2,2287415.7,14.6429332229937,91.5,8.5
"1598","Yes","Office",36192,1980,18.5,"02210","Office",73.6,68,1980,6.3,2663318.5,14.795083459597,100,NA
"1599","Yes","Office",117801,1907,7336.7,"02210","Office",43.4,92,1907,3.6,5109316.3,15.4465761567508,95.9,4.1
"1600","Yes","Office",111535,1888,17.6,"02210","Office, Restaurant",177.7,2,1888,14.8,19824138.8,16.8024108844408,93.2,6.8
"1601","Yes","Multifamily Housing",93300,1996,3.2,"02210","Multifamily Housing",164.4,1,1996,11.2,15338139.3,16.5458530492842,47.1,52.9
"1602","Yes","Multifamily Housing",60000,2004,31.5,"02210","Multifamily Housing",58.2,19,2004,4.3,3490302.5,15.0654989666402,64.9,35.1
"1603","Yes","Office",53100,1900,8.1,"02210","Office",92,78,1900,6.3,4883693.7,15.4014123972584,49,51
"1604","Yes","Mixed Use Property",57800,1918,7.9,"02210","Office, Other",67.1,93,1918,4.1,3875786.6,15.1702591937176,26.5,73.5
