building_id,building_type,property_type_primary,zip,council_district_code,neighborhood,year_built,num_buildings,num_floors,gross_floor_area_total_SF,gross_floor_area_parking_SF,gross_floor_area_building_SF,property_types_all,property_type_first,gross_floor_area_property_type_first_SF,property_type_second,property_type_third,energy_star_score,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,total_site_energy_KBTU,weather_norm_total_site_energy_KBTU,steam_use_KBTU,electricity_KWH,electricity_KBTU,natural_gas_THERMS,natural_gas_KBTU,total_ghg_emissions_MTCO2e,ghg_intensity_KGCO2e,log_total_site_energy_KBTU
19787,NonResidential,Worship Facility,98116,1,SOUTHWEST,1949,1,2,21364,0,21364,"K-12 School, Worship Facility",Worship Facility,15364,K-12 School,,87,45.20000076,52,63.29999924,71.40000153,965651.125,1110209.25,0,47544,162220,8034.310547,803431,43.8,2.05,13.78055789
19788,Multifamily MR (5-9),Mid-Rise Multifamily,98109,7,MAGNOLIA / QUEEN ANNE,1999,1,6,208125,0,208125,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,79872,Parking,Retail Store,1,37.59999847,40.59999847,49.59999847,52.79999924,3273645.5,3534954.5,0,123633.7031,421838,28518.07031,2851807,154.4,0.74,15.00141475
19789,Multifamily MR (5-9),Mid-Rise Multifamily,98122,3,EAST,1923,1,6,39251,0,39251,Multifamily Housing,Multifamily Housing,33720,,,84,32.09999847,34.59999847,98,106,1082076,1167446.75,0,304197.1875,1037921,441.5499878,44155,9.58,0.24,13.89439198
19790,Multifamily MR (5-9),Mid-Rise Multifamily,98122,3,EAST,1992,1,5,44715,0,44715,Multifamily Housing,Multifamily Housing,44715,,,79,40.5,43.20000076,106.9000015,112.9000015,1809586.75,1930204.25,0,403999.3125,1378446,4311.410156,431141,32.51,0.73,14.40860906
19792,Multifamily MR (5-9),Mid-Rise Multifamily,98119,7,MAGNOLIA / QUEEN ANNE,1990,1,5,21715,0,21715,"Multifamily Housing, Parking",Multifamily Housing,21715,Parking,,1,24.29999924,25.79999924,69.80000305,73.59999847,528411.875,561177.1875,0,134615.0938,459307,691.0500488,69105,6.87,0.32,13.17763132
19793,Multifamily MR (5-9),Mid-Rise Multifamily,98109,7,LAKE UNION,1994,1,7,86525,23866,62659,"Multifamily Housing, Parking",Multifamily Housing,62659,Parking,,85,37,38.90000153,0,0,2321336,2436266.5,0,550901.8125,1879677,0,0,13.1,0.15,14.65765344
19794,Multifamily LR (1-4),Low-Rise Multifamily,98109,7,LAKE UNION,1916,1,3,56652,0,56652,Multifamily Housing,Multifamily Housing,56652,,,100,28.89999962,31.79999924,56.40000153,60.20000076,1638562.75,1799223.75,0,206436,704360,9342.030273,934203,54.53,0.96,14.30933004
19797,Multifamily MR (5-9),Mid-Rise Multifamily,98119,7,MAGNOLIA / QUEEN ANNE,1996,1,5,20798,0,20798,Multifamily Housing,Multifamily Housing,20798,,,51,31.10000038,31.10000038,97.80000305,97.80000305,647792.875,647792.875,0,189857.2031,647793,0,0,4.52,0.22,13.38132629
19799,Multifamily LR (1-4),Low-Rise Multifamily,98122,3,EAST,1965,1,3,20296,0,20296,"Multifamily Housing, Parking",Multifamily Housing,19542,Parking,,66,28.5,30.79999924,89.5,96.59999847,556700.6875,601180.875,0,163159.5938,556701,0,0,3.88,0.19,13.22978301
19805,Multifamily LR (1-4),Low-Rise Multifamily,98199,7,MAGNOLIA / QUEEN ANNE,1988,1,4,31537,0,31537,Multifamily Housing,Multifamily Housing,24459,,,62,34.09999847,35.59999847,106.9000015,111.8000031,832986.875,870793.3125,0,244134.5,832987,0,0,5.81,0.18,13.63277316
19808,Multifamily MR (5-9),Mid-Rise Multifamily,98102,3,EAST,1980,1,5,48744,0,48744,Multifamily Housing,Multifamily Housing,48744,,,28,34.40000153,37,108.0999985,116.0999985,1678495.25,1802592.25,0,491938.8125,1678495,0,0,11.7,0.24,14.33340827
19824,Multifamily MR (5-9),Mid-Rise Multifamily,98109,7,LAKE UNION,2010,1,5,23931,0,23931,"Multifamily Housing, Parking",Multifamily Housing,22088,Parking,,1,28.79999924,29.70000076,75.59999847,76.59999847,635516.375,656491,0,140744.2031,480219,1552.970093,155297,11.6,0.48,13.36219314
19826,Multifamily LR (1-4),Low-Rise Multifamily,98109,7,MAGNOLIA / QUEEN ANNE,1999,1,4,39966,0,39966,"Multifamily Housing, Office, Parking",Multifamily Housing,33396,Parking,Office,1,23.79999924,24.79999924,74.69999695,77.59999847,871355.5,905750.8125,0,254464.7031,868234,31.22000122,3122,6.22,0.16,13.67780532
19830,Multifamily MR (5-9),Mid-Rise Multifamily,98109,7,MAGNOLIA / QUEEN ANNE,1999,1,7,72763,0,72763,"Multifamily Housing, Office, Parking",Multifamily Housing,70013,Parking,Office,1,38.79999924,39.79999924,109.4000015,111.5999985,2821489.25,2896491,0,700500.875,2390109,4313.800293,431380,39.57,0.54,14.85277541
