"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"186","In Compliance","2","20005",1983,"Office","Office",320015,198814,2532597.1,"Whole Building","Whole Building",8602838,6379.304199,13,150.8,149.9,467,462.9,3400.1,17.1,29981151.2,17.2160794488341
"187","In Compliance","3","20016",1896,"College/University","Mixed Use Property",1452667,1977602,85583,"Whole Building","Whole Building",34635164,998321.9955,NA,110.2,112.5,240,240.6,18854.9,9.5,217931740.4,19.1996924542907
"188","In Compliance","2","20005",2008,"Office","Office",178646,198452,3503.3,"Whole Building","Whole Building",3959484,NA,87,68.1,68,213.8,213.4,6063.6,30.6,13514581.2,16.4192797494212
"189","In Compliance","2","20006",1971,"Office","Office",125367,117509,3254.7,"Whole Building","Whole Building",2188020,NA,76,63.5,64.7,199.5,203.3,856.1,7.3,7461821.5,15.8253101112764
"190","In Compliance","2","20004",1869,"Office","Office",172152,118044,2114.4,"Whole Building","Whole Building",1897993,NA,75,54.9,54.9,172.3,172.5,742.7,6.3,6480615.6,15.6843260638162
"193","In Compliance","2","20005",1967,"Office","Office",260598,177404,5269.4,"Whole Building","Whole Building",2417233,3157.399958,86,63.8,62,163.5,157.9,1167.2,6.6,11318375.2,16.2419380868685
"194","In Compliance","2","20005",1973,"Office","Office",213934,171350,3986.2,"Whole Building","Whole Building",3467869,NA,68,69.1,70.2,216.8,220.4,1356.9,7.9,11840285,16.2870182580764
"196","In Compliance","6","20001",1989,"College/University","College/University",148385,150176,1864.1,"Whole Building","Whole Building",3013283,NA,NA,68.5,68.5,215,215,1179.1,7.9,10287056,16.1463969638623
"197","In Compliance","3","20016",1991,"K-12 School","K-12 School",553914,247000,7795.8,"Whole Building","Whole Building",3065758,NA,NA,42.3,41.3,133,129.7,1199.6,4.9,10448100,16.1619307016623
"198","In Compliance","2","20005",1992,"Office","Office",158124,284845,4400.1,"Whole Building","Whole Building",4719472,NA,89,56.5,56.5,177.5,177.5,1846.7,6.5,16093742.5,16.5939410898088
"199","In Compliance","3","20015",1990,"Office","Office",894921,204621,12954.3,"Whole Building","Whole Building",2733069,NA,92,45.6,45.2,143.1,141.9,1069.4,5.2,9330717.6,16.0488224830491
"200","In Compliance","6","20001",2004,"College/University","College/University",229266,194140,6852.9,"Whole Building","Whole Building",3384400,70619.49353,NA,95.9,96.8,225,223.7,1699.4,8.8,18618026,16.7396408091556
"201","In Compliance","2","20004",2007,"Office","Office",302601,347262,10598.6,"Whole Building","Whole Building",5900159,269.3279576,84,58.3,NA,182.3,NA,2315.3,6.7,20245374.6,16.8234369106114
"202","In Compliance","2","20006",1958,"Office","Office",89172,66396,1609.8,"Whole Building","Whole Building",651408.2,NA,94,33.5,32.7,105.1,102.7,254.9,3.8,2224266,14.6149375315171
"203","In Compliance","2","20036",1978,"Office","Office",110414,103501,3144.5,"Whole Building","Whole Building",1412387,6864.04106,89,53.2,53.1,153.2,151.3,589.1,5.7,5506253.2,15.5213949498242
"204","In Compliance","2","20006",1979,"Office","Office",361940,273360,6048.8,"Whole Building","Whole Building",4946493,NA,79,61.7,61.7,193.9,193.9,1935.5,7.1,16866312,16.6408288177005
"205","In Compliance","3","20016",1991,"K-12 School","K-12 School",553914,172000,1973.2,"Whole Building","Whole Building",2093413,NA,NA,41.5,40.8,130.4,128,819.1,4.8,7138000,15.7809431830322
"206","In Compliance","2","20005",1991,"Office","Office",241994,227165,5415.5,"Whole Building","Whole Building",5347047,NA,89,80.3,80.3,252.2,252.2,2092.2,9.2,18241349.5,16.7192015256193
"207","In Compliance","2","20036",1975,"Office","Office",550211,615281,16414.5,"Whole Building","Whole Building",9655693,NA,84,53.5,53.5,168.1,168.1,3778.1,6.1,32917533.5,17.3095160069079
"208","In Compliance","6","20024",1992,"Office","Office",8e+05,583876,7483.6,"Whole Building","Whole Building",9845436,NA,86,57.5,57.5,180.7,180.5,10068.6,17.2,33572870,17.3292288583016
"209","In Compliance","6","20001",2006,"Office","Office",551388,402012,5396.5,"Whole Building","Whole Building",6123568,5882.38388,87,53.4,53.5,164.7,164.7,2427.3,6,21467440.8,16.8820479638681
"210","In Compliance","6","20024",2005,"Office","Office",806904,519213,6968.6,"Whole Building","Whole Building",8101381,NA,80,53.2,53.2,167.2,167.2,8285,16,27622131.6,17.134127878927
"211","In Compliance","6","20024",1995,"Office","Office",633800,652702,17403.1,"Whole Building","Whole Building",15999180,NA,61,83.6,83.6,262.6,262.6,16361.8,25.1,54565887.2,17.8149194689042
"212","In Compliance","2","20006",1975,"Office","Office",214618,180086,2986.5,"Whole Building","Whole Building",2829595,NA,85,53.6,54.3,168.3,170.6,1107.2,6.1,9652609.6,16.0827388616274
"213","In Compliance","2","20036",1979,"Office","Office",284658,304871,10505,"Whole Building","Whole Building",9568981,NA,22,107.1,105.5,336.3,331.2,3744.2,12.3,32651684.1,17.3014069927547
"214","In Compliance","2","20036",1969,"Office","Office",73315,55000,1037.9,"Whole Building","Whole Building",1433906,NA,46,89.3,NA,279.7,NA,562.5,10.2,4911500,15.4070899520971
"215","In Compliance","6","20002",2008,"Office","Office",346026,338929,3868.5,"Whole Building","Whole Building",4799019,7676.083913,93,50.6,50.8,154.1,154.3,1918.6,5.7,17149807.4,16.6574975011925
"216","In Compliance","2","20006",1963,"Office","Office",200034,160234.6,4351.9,"Whole Building","Whole Building",1642551,16683.49034,96,45.4,45.5,120.8,119.8,731.3,4.6,7274650.84,15.7999063753683
"217","In Compliance","2","20037",1986,"Office","Office",397105,305149,6342.7,"Whole Building","Whole Building",5943566,NA,84,66.5,66.5,208.7,208.7,2325.6,7.6,20292408.5,16.8257574085522
"218","In Compliance","2","20006",1976,"Office","Office",309460,156813,2087.7,"Whole Building","Whole Building",2975807,NA,67,64.7,64.7,203.3,203.3,1164.4,7.4,10145801.1,16.1325704931319
"219","In Compliance","2","20005",2007,"Office","Office",425568,425566,5363.6,"Whole Building","Whole Building",7388712,NA,82,59.2,59.2,186,186,2891.1,6.8,25193507.2,17.0420968684903
"220","In Compliance","2","20006",1987,"Office","Office",293324,248690,4574.7,"Whole Building","Whole Building",3576157,NA,89,49.1,49.1,154.1,154.1,1399.3,5.6,12210679,16.3178214546963
"221","In Compliance","6","20001",1935,"Office","Office",260352,205580,5563.6,"Whole Building","Whole Building",6947304,NA,42,115.3,115.8,362.1,363.7,2718.4,13.2,23703374,16.9811279588419
"222","In Compliance","3","20015",1989,"Office","Office",250155,185198,4941.1,"Whole Building","Whole Building",4219791,NA,62,77.7,76.4,244.1,240,1651.1,8.9,14389884.6,16.4820360593734
"223","In Compliance","2","20036",1917,"Office","Office",59622,59622,2268.7,"Whole Building","Whole Building",1203981,NA,71,68.9,68.9,216.3,216.3,471.1,7.9,4107955.8,15.228436090479
"224","In Compliance","3","20016",1991,"K-12 School","K-12 School",553914,72000,1799.7,"Whole Building","Whole Building",750049,NA,NA,35.5,34.2,111.6,107.4,293.5,4.1,2556000,14.7539540944796
"225","In Compliance","2","20036",1971,"Office","Office",321809,251620,3283.9,"Whole Building","Whole Building",6533909,21813.08644,48,97.3,97.7,287.3,286.8,2672.5,10.6,24482626,17.0134742810971
"226","In Compliance","2","20036",1990,"Medical Office","Medical Office",173812,152027,5694.2,"Whole Building","Whole Building",2384619,15887.00071,73,64,63.4,179,175.5,1017.5,6.7,9729728,16.0906964989924
"227","In Compliance","3","20016",1991,"Worship Facility","Worship Facility",553914,85000,3388.3,"Whole Building","Whole Building",3009338,NA,NA,120.8,119.7,379.3,376,1177.5,13.9,10268000,16.1445428209732
"228","In Compliance","2","20005",1950,"Office","Office",103407,89609,1725,"Whole Building","Whole Building",1334047,NA,84,50.8,50.8,159.5,159.5,522,5.8,4552137.2,15.3311073949316
"229","In Compliance","2","20005",1927,"Office","Office",75579,68988,393.6,"Whole Building","Whole Building",1245701,NA,63,61.6,60.9,193.5,191.4,487.4,7.1,4249660.8,15.2623497259508
"230","In Compliance","2","20036",1984,"Office","Office",232565,228520,2792.3,"Whole Building","Whole Building",4294629,NA,85,64.2,NA,201.4,NA,1681,7.4,14670984,16.5013822235343
"231","In Compliance","2","20001",1999,"Office","Office",248052,238127,4672.1,"Whole Building","Whole Building",4398369,NA,81,63,62.4,197.9,196,1721,7.2,15002001,16.5236941501695
"232","In Compliance","2","20036",2007,"Office","Office",67223,43000,463.2,"Whole Building","Combination of common and tenant areas",946723.1,NA,44,75.1,75.7,235.9,237.8,370.4,8.6,3229300,14.9877759534458
"233","In Compliance","2","20001",2008,"Office","Office",210235,181363,5265.1,"Whole Building","Whole Building",5318289,490.3983864,44,100.3,100.4,314.5,314.5,2083.6,11.5,18190708.9,16.7164215216975
"234","In Compliance","6","20024",2005,"Office","Office",671975,504155,9556.8,"Whole Building","Whole Building",10168100,NA,91,68.8,68.3,216.1,214.6,3978.6,7.9,34685864,17.3618427843947
"235","In Compliance","2","20006",1976,"Office","Office",504408,418749,9923.1,"Whole Building","Whole Building",7580491,NA,81,61.8,61.8,193.9,193.9,2966.1,7.1,25878688.2,17.0689303385225
"236","In Compliance","6","20001",1985,"Office","Office",266907,212247,4354.6,"Whole Building","Whole Building",5307343,NA,63,85.3,84.6,267.9,265.8,2076.7,9.8,18104669.1,16.7116804242957
"237","In Compliance","6","20001",1991,"Office","Office",335283,195276,2205.8,"Whole Building","Whole Building",2582008,NA,93,45.1,45.3,141.7,142.4,1010.3,5.2,8806947.6,15.9910514679572
"238","In Compliance","2","20006",2008,"Office","Office",83209,67330,559.7,"Whole Building","Whole Building",1197991,NA,68,60.7,59.9,190.6,188,468.8,7,4086931,15.2233048796048
"239","In Compliance","2","20005",1968,"Office","Office",340022,346376,4020.2,"Whole Building","Whole Building",4573559,10765.54003,94,48.2,48.2,144.7,143.8,1846.8,5.3,16695323.2,16.6306391902621
"240","In Compliance","5","20010",1997,"Medical Office","Medical Office",126034,106517,6130.1,"Whole Building","Whole Building",1260126,NA,78,74.9,77.6,168.3,168.9,737.6,6.9,7978123.3,15.8922137663293
"241","In Compliance","5","20010",1967,"Medical Office","Medical Office",140215,76319,1632,"Whole Building","Whole Building",2100202,NA,59,134.4,139,343.5,346.2,1026.9,13.5,10257273.6,16.1434976314
"242","In Compliance","2","20006",1972,"Office","Office",216228,184573,3663,"Whole Building","Whole Building",3617522,24562.3124,73,80.2,80.7,224,223.8,3830,20.8,14802754.6,16.5103238430375
"243","In Compliance","6","20002",2005,"Office","Office",929605,788412,12350.4,"Whole Building","Whole Building",15996190,NA,79,69.2,69.2,217.4,217.4,6259.1,7.9,54558110.4,17.8147769374686
"244","In Compliance","6","20002",2005,"Office","Office",538454,391885,6264.8,"Whole Building","Whole Building",6972120,NA,88,60.7,60.7,190.6,190.6,2728.1,7,23787419.5,16.9846674064505
"245","In Compliance","2","20005",1989,"Office","Office",160944,167886.5,15758.6,"Whole Building","Whole Building",3145667,NA,64,63.9,63.9,200.7,200.7,1230.9,7.3,10727947.35,16.1883627962135
